预测值：0.5475991931886663 真实值：0.543333333 误差：0.785127642568%
预测值：0.6429349207366668 真实值：0.656666667 误差：2.09112887153%
预测值：0.5754259523643335 真实值：0.572777778 误差：0.462338880112%
预测值：0.5434257871068331 真实值：0.551666667 误差：1.49381508547%
预测值：0.6063608553950991 真实值：0.62 误差：2.19986203305%
预测值：0.5762154787659612 真实值：0.539444444 误差：6.81646371094%
预测值：0.6095999934924285 真实值：0.631666667 误差：3.49340477508%
预测值：0.6360898456929527 真实值：0.638333333 误差：0.351460152724%
预测值：0.5823407407324759 真实值：0.588888889 误差：1.1119497056%
预测值：0.621248214274833 真实值：0.611111111 误差：1.658798718%
预测值：0.5841049294472063 真实值：0.587222222 误差：0.530853982701%
预测值：0.5836226058028572 真实值：0.539444444 误差：8.18956656134%
预测值：0.5887162734221062 真实值：0.646111111 误差：8.88312189664%
预测值：0.5868584258711192 真实值：0.591111111 误差：0.719439213668%
预测值：0.611848580196611 真实值：0.590555556 误差：3.60559205316%
预测值：0.6364334326434284 真实值：0.639444444 误差：0.470879274161%
预测值：0.5427519643507499 真实值：0.546666667 误差：0.716104142719%
预测值：0.6121023148056662 真实值：0.61 误差：0.344641771421%
预测值：0.5494645371165001 真实值：0.562777778 误差：2.36563016593%
预测值：0.5472980555679999 真实值：0.522222222 误差：4.80175536613%
预测值：0.5523327580265476 真实值：0.502777778 误差：9.85623911695%
预测值：0.5629097090299764 真实值：0.541666667 误差：3.92179237235%
预测值：0.586038055557 真实值：0.591666667 误差：0.951314609549%
预测值：0.5805286111418333 真实值：0.575 误差：0.961497589884%
预测值：0.4826355554220004 真实值：0.515 误差：6.28435817049%
预测值：0.574986574059743 真实值：0.567222222 误差：1.36883777796%
预测值：0.5821266380841668 真实值：0.549444444 误差：5.94822541952%
预测值：0.5875273501036667 真实值：0.603333333 误差：2.61977617211%
预测值：0.4916666666099999 真实值：0.506666667 误差：2.96052639082%
预测值：0.6196542195727619 真实值：0.640555556 误差：3.26300134804%
预测值：0.5487909590707143 真实值：0.532222222 误差：3.1131238768%
预测值：0.49900208315 真实值：0.575 误差：13.2170290174%
预测值：0.6055205260625233 真实值：0.618888889 误差：2.16005864301%
预测值：0.48219999980000006 真实值：0.468333333 误差：2.9608541231%
预测值：0.5683383509989998 真实值：0.541666667 误差：4.92400319679%
预测值：0.5850452529236732 真实值：0.58 误差：0.869871193737%
预测值：0.6421093783640479 真实值：0.648333333 误差：0.959993003468%
预测值：0.6067133465452141 真实值：0.608888889 误差：0.357297118422%
预测值：0.5764919540596192 真实值：0.565555556 误差：1.93374425264%
预测值：0.5839336111435002 真实值：0.599444444 误差：2.58753467677%
预测值：0.6308524846323056 真实值：0.629444444 误差：0.223695775811%
预测值：0.5020500001000002 真实值：0.563333333 误差：10.8786981544%
预测值：0.5916139814948338 真实值：0.580555556 误差：1.90480056225%
预测值：0.6299374735411191 真实值：0.637777778 误差：1.22931602971%
预测值：0.6166605423511904 真实值：0.606111111 误差：1.74051113067%
预测值：0.5812755093628332 真实值：0.570555556 误差：1.87886232114%
预测值：0.5856413778755 真实值：0.581111111 误差：0.779587034174%
预测值：0.6411891358719444 真实值：0.633333333 误差：1.2403899278%
预测值：0.6337375000950002 真实值：0.590555556 误差：7.3120883643%
预测值：0.5609162963133333 真实值：0.566666667 误差：1.01477129705%
预测值：0.5805779585419285 真实值：0.549444444 误差：5.6663626108%
预测值：0.5477802777616669 真实值：0.563333333 误差：2.76089738122%
预测值：0.6217538536382766 真实值：0.618333333 误差：0.553183931017%
预测值：0.5727484435416986 真实值：0.571666667 误差：0.189232048%
预测值：0.6421842549676668 真实值：0.646666667 误差：0.693156499488%
预测值：0.6190425830454285 真实值：0.614444444 误差：0.748340894011%
预测值：0.5633918011887977 真实值：0.539444444 误差：4.43926292228%
预测值：0.5658091798974761 真实值：0.564444444 误差：0.241783919035%
